supplier_reference,stock_facility,product_id,product_name,variant_id,brand,hscode,material,secondary_material,size_format,print_technique,print_position_1,print_position_2,print_format_1,print_format_2,print_colors_1,print_colors_2,coordinates,quantity,supplier_price,days,packs,weight,color,size
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,1300,300.3,4,5,45.5,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,850,206.34,4,3,29.75,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,1400,323.4,4,5,49.0,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,100,33.09,4,1,3.5,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,2000,462.0,4,7,70.0,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,175,50.42,4,1,6.125,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,950,219.45,4,4,33.25,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,800,194.79,4,3,28.0,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,500,125.49,4,2,17.5,white,S/T
14049001000,ES,4049,drawstringnonwoven,14049001000,no,4202929190,Non-Woven,no,360x420xnoxno,no,no,no,noxnoxnoxno,noxnoxnoxno,no,no,,400,102.39,4,2,14.0,white,S/T
